customer_id,first_name,last_name,phone_number,email,city,plan_type
1,Ikbal,Sami,9282609607,narangleena@example.net,Chennai,POSTPAID
2,Nirja,Chaudhari,9464157033,damyantigola@example.net,Hyderabad,POSTPAID
3,Odika,Basu,9246666773,davebarkha@example.org,Chennai,PREPAID
4,Gayathri,Srivastava,9442629597,tellapahal@example.org,Hyderabad,POSTPAID
5,Mason,Bahri,9683938748,hritiksuri@example.net,Bengaluru,POSTPAID
6,Vasatika,Gara,9651207176,harshil46@example.org,Chennai,PREPAID
7,Samar,Gole,9656803908,pooja85@example.com,Mumbai,POSTPAID
8,Pranav,Keer,9540538804,qmand@example.com,Delhi,PREPAID
9,Idika,Maharaj,9721574178,timothy40@example.org,Bengaluru,POSTPAID
10,Nimrat,Agate,9354045060,jkrishnan@example.net,Chennai,POSTPAID
11,Samarth,Din,9645109424,balvan93@example.net,Pune,PREPAID
12,Ayushman,Chaudry,9609621586,kritika34@example.net,Bengaluru,PREPAID
13,Ishani,Bawa,9174924591,tarak20@example.com,Chennai,POSTPAID
14,Yamini,Sampath,9646586338,iarora@example.com,Bengaluru,PREPAID
15,Ayushman,Patel,9515801562,nikitamore@example.org,Bengaluru,PREPAID
16,Rachit,Kadakia,9808894257,osha85@example.org,Hyderabad,POSTPAID
17,Hitesh,Arya,9885392235,asawhney@example.org,Mumbai,PREPAID
18,Ishaan,Loyal,9737359103,nigamgeorge@example.org,Delhi,POSTPAID
19,Nathaniel,Sagar,9927707838,atara@example.com,Hyderabad,POSTPAID
20,Leena,Ramanathan,9381353259,isaactailor@example.com,Hyderabad,PREPAID
21,Brijesh,Dube,9696262656,timothy97@example.com,Pune,PREPAID
22,Ekanta,Mody,9710352145,ojasrajan@example.org,Mumbai,POSTPAID
23,Devika,Hayre,9388849405,vansha76@example.net,Hyderabad,POSTPAID
24,Pahal,Basak,9509351707,mitali83@example.com,Mumbai,POSTPAID
25,Deepa,Setty,9757074870,dipta13@example.org,Mumbai,PREPAID
26,Noah,Arya,9474283700,shankerthomas@example.net,Hyderabad,PREPAID
27,Bishakha,Tara,9667361032,mitesh35@example.com,Hyderabad,PREPAID
28,Chasmum,Kaur,9512638890,ydevi@example.com,Delhi,PREPAID
29,Abha,Batta,9700235535,isaac51@example.org,Hyderabad,PREPAID
30,Meghana,Luthra,9944223324,pbath@example.net,Bengaluru,PREPAID
31,Yochana,Sood,9306649313,neha56@example.org,Chennai,POSTPAID
32,Bhavini,Rastogi,9364663883,sharmaira@example.org,Hyderabad,POSTPAID
33,Yatin,Thaman,9992348723,deepa13@example.org,Bengaluru,POSTPAID
34,Chandani,Sridhar,9221289756,advik15@example.net,Pune,PREPAID
35,Vasana,Balan,9156294898,vatwal@example.net,Chennai,PREPAID
36,Fitan,Shan,9392558318,ksankar@example.com,Bengaluru,PREPAID
37,Janaki,Sami,9935670664,rpingle@example.com,Delhi,POSTPAID
38,Balveer,Vohra,9876818562,vidhi40@example.com,Mumbai,PREPAID
39,Chaaya,Parsa,9400548448,maanas74@example.net,Pune,POSTPAID
40,Yash,Rau,9735437240,noah75@example.org,Bengaluru,PREPAID
41,Aahana,Varkey,9780800464,hemanguppal@example.com,Delhi,POSTPAID
42,Baljiwan,Gandhi,9192738965,bhagatchaaya@example.com,Mumbai,PREPAID
43,Kashish,Vohra,9124219999,barkha46@example.com,Pune,POSTPAID
44,Adya,Mannan,9534936961,maharajishaan@example.net,Bengaluru,POSTPAID
45,Jeevika,Bajwa,9846491044,lkota@example.com,Chennai,PREPAID
